"DATE","DEATHS","AVERAGE"
"2020-06-05",12,19.285714285714285
"2020-06-06",11,17.428571428571427
"2020-06-07",12,16.142857142857142
"2020-06-08",9,14.428571428571429
"2020-06-09",12,12.714285714285714
"2020-06-10",12,11.714285714285714
"2020-06-11",7,10.714285714285714
"2020-06-12",10,10.428571428571429
"2020-06-13",5,9.571428571428571
"2020-06-14",4,8.428571428571429
"2020-06-15",8,8.285714285714286
"2020-06-16",7,7.571428571428571
"2020-06-17",7,6.857142857142857
"2020-06-18",5,6.571428571428571
"2020-06-19",4,5.714285714285714
"2020-06-20",3,5.428571428571429
"2020-06-21",9,6.142857142857143
"2020-06-22",12,6.714285714285714
"2020-06-23",4,6.285714285714286
"2020-06-24",4,5.857142857142857
"2020-06-25",5,5.857142857142857
"2020-06-26",2,5.571428571428571
"2020-06-27",8,6.285714285714286
"2020-06-28",5,5.714285714285714
"2020-06-29",3,4.428571428571429
"2020-06-30",8,5
"2020-07-01",2,4.714285714285714
"2020-07-02",5,4.714285714285714
"2020-07-03",2,4.714285714285714
"2020-07-04",3,4
"2020-07-05",2,3.5714285714285716
"2020-07-06",1,3.2857142857142856
"2020-07-07",3,2.5714285714285716
"2020-07-08",1,2.4285714285714284
"2020-07-09",2,2
"2020-07-10",0,1.7142857142857142
"2020-07-11",2,1.5714285714285714
"2020-07-12",4,1.8571428571428572
"2020-07-13",1,1.8571428571428572
"2020-07-14",3,1.8571428571428572
"2020-07-15",5,2.4285714285714284
"2020-07-16",5,2.857142857142857
"2020-07-17",2,3.142857142857143
"2020-07-18",3,3.2857142857142856
"2020-07-19",1,2.857142857142857
"2020-07-20",2,3
"2020-07-21",1,2.7142857142857144
"2020-07-22",2,2.2857142857142856
"2020-07-23",2,1.8571428571428572
"2020-07-24",5,2.2857142857142856
"2020-07-25",1,2
"2020-07-26",2,2.142857142857143
"2020-07-27",6,2.7142857142857144
"2020-07-28",1,2.7142857142857144
"2020-07-29",3,2.857142857142857
"2020-07-30",2,2.857142857142857
"2020-07-31",3,2.5714285714285716
"2020-08-01",2,2.7142857142857144
"2020-08-02",5,3.142857142857143
"2020-08-03",4,2.857142857142857
"2020-08-04",7,3.7142857142857144
"2020-08-05",5,4
"2020-08-06",4,4.285714285714286
"2020-08-07",6,4.714285714285714
"2020-08-08",2,4.714285714285714
"2020-08-09",5,4.714285714285714
"2020-08-10",11,5.714285714285714
"2020-08-11",13,6.571428571428571
"2020-08-12",11,7.428571428571429
"2020-08-13",12,8.571428571428571
"2020-08-14",12,9.428571428571429
"2020-08-15",10,10.571428571428571
"2020-08-16",8,11
"2020-08-17",7,10.428571428571429
"2020-08-18",11,10.142857142857142
"2020-08-19",9,9.857142857142858
"2020-08-20",5,8.857142857142858
"2020-08-21",3,7.571428571428571
"2020-08-22",5,6.857142857142857
"2020-08-23",3,6.142857142857143
"2020-08-24",5,5.857142857142857
"2020-08-25",5,5
"2020-08-26",4,4.285714285714286
"2020-08-27",3,4
"2020-08-28",4,4.142857142857143
"2020-08-29",6,4.285714285714286
"2020-08-30",1,4
"2020-08-31",3,3.7142857142857144
"2020-09-01",3,3.4285714285714284
"2020-09-02",3,3.2857142857142856
"2020-09-03",4,3.4285714285714284
"2020-09-04",2,3.142857142857143
"2020-09-05",1,2.4285714285714284
"2020-09-06",3,2.7142857142857144
"2020-09-07",4,2.857142857142857
"2020-09-08",3,2.857142857142857
"2020-09-09",2,2.7142857142857144
"2020-09-10",3,2.5714285714285716
"2020-09-11",5,3
"2020-09-12",1,3
"2020-09-13",1,2.7142857142857144
"2020-09-14",4,2.7142857142857144
"2020-09-15",3,2.7142857142857144
"2020-09-16",3,2.857142857142857
"2020-09-17",1,2.5714285714285716
"2020-09-18",6,2.7142857142857144
"2020-09-19",8,3.7142857142857144
"2020-09-20",3,4
"2020-09-21",3,3.857142857142857
"2020-09-22",1,3.5714285714285716
"2020-09-23",8,4.285714285714286
"2020-09-24",4,4.714285714285714
"2020-09-25",5,4.571428571428571
"2020-09-26",7,4.428571428571429
"2020-09-27",12,5.714285714285714
"2020-09-28",13,7.142857142857143
"2020-09-29",10,8.428571428571429
"2020-09-30",6,8.142857142857142
"2020-10-01",15,9.714285714285714
"2020-10-02",11,10.571428571428571
"2020-10-03",15,11.714285714285714
"2020-10-04",15,12.142857142857142
