DATE,TYPE,REGION,VIALS,DOSES_PER_VIAL,DOSES,MAX_DOSES_PER_VIAL,MAX_DOSES
2021-07-14,AstraZeneca,Stock,-4300,10,-43000,12,-51600
2021-07-19,Pfizer/BioNTech,Other,390,6,2340,7,2730
2021-07-19,Pfizer/BioNTech,Flanders,48165,6,288990,7,337155
2021-07-19,Pfizer/BioNTech,Wallonia,23010,6,138060,7,161070
2021-07-19,Pfizer/BioNTech,Brussels,1560,6,9360,7,10920
2021-07-19,Pfizer/BioNTech,Stock,585,6,3510,7,4095
2021-07-21,Moderna,Flanders,4700,10,47000,12,56400
2021-07-21,Moderna,Wallonia,-1680,10,-16800,12,-20160
2021-07-21,Janssen (J&J),Wallonia,-6000,5,-30000,6,-36000
2021-07-21,Moderna,Brussels,770,10,7700,12,9240
2021-07-21,AstraZeneca,Brussels,-4580,10,-45800,12,-54960
2021-07-21,Moderna,Stock,3050,10,30500,12,36600
2021-07-21,Janssen (J&J),Stock,6000,5,30000,6,36000
2021-07-21,AstraZeneca,Stock,4580,10,45800,12,54960
2021-07-21,AstraZeneca,Donations - COVAX,16800,10,168000,12,201600
2021-07-26,Moderna,Flanders,3950,10,39500,12,47400
2021-07-26,Pfizer/BioNTech,Flanders,43485,6,260910,7,304395
2021-07-26,Pfizer/BioNTech,Wallonia,17160,6,102960,7,120120
2021-07-26,Moderna,Brussels,-300,10,-3000,12,-3600
2021-07-26,Pfizer/BioNTech,Brussels,7410,6,44460,7,51870
2021-07-26,Moderna,Stock,3190,10,31900,12,38280
2021-07-26,Pfizer/BioNTech,Stock,5655,6,33930,7,39585
2021-07-28,AstraZeneca,Brussels,-28,10,-280,12,-336
2021-07-28,AstraZeneca,Flanders,28,10,280,12,336
2021-07-28,AstraZeneca,Donations - COVAX,22560,10,225600,12,270720
2021-07-30,Moderna,Flanders,3527,10,35270,12,42324
2021-07-30,Janssen (J&J),Flanders,-1370,5,-6850,6,-8220
2021-07-30,Moderna,Wallonia,-339,10,-3390,12,-4068
2021-07-30,Janssen (J&J),Wallonia,-4000,5,-20000,6,-24000
2021-07-30,Moderna,Brussels,-328,10,-3280,12,-3936
2021-07-30,Janssen (J&J),Brussels,4000,5,20000,6,24000
2021-07-30,Moderna,Stock,3860,10,38600,12,46320
2021-07-30,Janssen (J&J),Stock,7680,5,38400,6,46080
2021-07-30,Janssen (J&J),Other,1370,5,6850,6,8220
2021-08-02,Pfizer/BioNTech,Flanders,41925,6,251550,7,293475
2021-08-02,Pfizer/BioNTech,Wallonia,22425,6,134550,7,156975
2021-08-02,Pfizer/BioNTech,Stock,7215,6,43290,7,50505
2021-08-04,AstraZeneca,Donations - COVAX,4320,10,43200,12,51840
