"DATE","NEW_IN","AVERAGE"
"2020-06-23",12,16.714285714285715
"2020-06-24",16,16.285714285714285
"2020-06-25",21,16.285714285714285
"2020-06-26",18,15.857142857142858
"2020-06-27",16,15.571428571428571
"2020-06-28",7,14.857142857142858
"2020-06-29",14,14.857142857142858
"2020-06-30",17,15.571428571428571
"2020-07-01",9,14.571428571428571
"2020-07-02",13,13.428571428571429
"2020-07-03",6,11.714285714285714
"2020-07-04",16,11.714285714285714
"2020-07-05",7,11.714285714285714
"2020-07-06",10,11.142857142857142
"2020-07-07",17,11.142857142857142
"2020-07-08",9,11.142857142857142
"2020-07-09",11,10.857142857142858
"2020-07-10",6,10.857142857142858
"2020-07-11",11,10.142857142857142
"2020-07-12",7,10.142857142857142
"2020-07-13",9,10
"2020-07-14",18,10.142857142857142
"2020-07-15",11,10.428571428571429
"2020-07-16",13,10.714285714285714
"2020-07-17",11,11.428571428571429
"2020-07-18",27,13.714285714285714
"2020-07-19",18,15.285714285714286
"2020-07-20",14,16
"2020-07-21",8,14.571428571428571
"2020-07-22",23,16.285714285714285
"2020-07-23",33,19.142857142857142
"2020-07-24",34,22.428571428571427
"2020-07-25",26,22.285714285714285
"2020-07-26",15,21.857142857142858
"2020-07-27",28,23.857142857142858
"2020-07-28",41,28.571428571428573
"2020-07-29",35,30.285714285714285
"2020-07-30",30,29.857142857142858
"2020-07-31",19,27.714285714285715
"2020-08-01",29,28.142857142857142
"2020-08-02",29,30.142857142857142
"2020-08-03",29,30.285714285714285
"2020-08-04",20,27.285714285714285
"2020-08-05",50,29.428571428571427
"2020-08-06",33,29.857142857142858
"2020-08-07",33,31.857142857142858
"2020-08-08",38,33.142857142857146
"2020-08-09",23,32.285714285714285
"2020-08-10",41,34
"2020-08-11",52,38.57142857142857
"2020-08-12",35,36.42857142857143
"2020-08-13",46,38.285714285714285
"2020-08-14",33,38.285714285714285
"2020-08-15",43,39
"2020-08-16",29,39.857142857142854
"2020-08-17",21,37
"2020-08-18",35,34.57142857142857
"2020-08-19",39,35.142857142857146
"2020-08-20",30,32.857142857142854
"2020-08-21",31,32.57142857142857
"2020-08-22",26,30.142857142857142
"2020-08-23",18,28.571428571428573
"2020-08-24",17,28
"2020-08-25",12,24.714285714285715
"2020-08-26",21,22.142857142857142
"2020-08-27",21,20.857142857142858
"2020-08-28",19,19.142857142857142
"2020-08-29",8,16.571428571428573
"2020-08-30",14,16
"2020-08-31",18,16.142857142857142
"2020-09-01",28,18.428571428571427
"2020-09-02",26,19.142857142857142
"2020-09-03",13,18
"2020-09-04",22,18.428571428571427
"2020-09-05",16,19.571428571428573
"2020-09-06",17,20
"2020-09-07",26,21.142857142857142
"2020-09-08",42,23.142857142857142
"2020-09-09",24,22.857142857142858
"2020-09-10",29,25.142857142857142
"2020-09-11",31,26.428571428571427
"2020-09-12",35,29.142857142857142
"2020-09-13",41,32.57142857142857
"2020-09-14",34,33.714285714285715
"2020-09-15",50,34.857142857142854
"2020-09-16",46,38
"2020-09-17",49,40.857142857142854
"2020-09-18",58,44.714285714285715
"2020-09-19",58,48
"2020-09-20",50,49.285714285714285
"2020-09-21",61,53.142857142857146
"2020-09-22",76,56.857142857142854
"2020-09-23",74,60.857142857142854
"2020-09-24",93,67.14285714285714
"2020-09-25",74,69.42857142857143
"2020-09-26",54,68.85714285714286
"2020-09-27",51,69
"2020-09-28",74,70.85714285714286
"2020-09-29",91,73
"2020-09-30",89,75.14285714285714
"2020-10-01",90,74.71428571428571
"2020-10-02",75,74.85714285714286
"2020-10-03",79,78.42857142857143
"2020-10-04",91,84.14285714285714
"2020-10-05",91,86.57142857142857
"2020-10-06",113,89.71428571428571
"2020-10-07",145,97.71428571428571
"2020-10-08",131,103.57142857142857
"2020-10-09",151,114.42857142857143
"2020-10-10",165,126.71428571428571
"2020-10-11",141,133.85714285714286
"2020-10-12",179,146.42857142857142
"2020-10-13",224,162.28571428571428
"2020-10-14",266,179.57142857142858
"2020-10-15",292,202.57142857142858
"2020-10-16",252,217
"2020-10-17",365,245.57142857142858
"2020-10-18",271,264.14285714285717
"2020-10-19",274,277.7142857142857
"2020-10-20",428,306.85714285714283
"2020-10-21",437,331.2857142857143
"2020-10-22",520,363.85714285714283
"2020-10-23",617,416
"2020-10-24",610,451
"2020-10-25",529,487.85714285714283
"2020-10-26",545,526.5714285714286
"2020-10-27",707,566.4285714285714
"2020-10-28",759,612.4285714285714
"2020-10-29",688,636.4285714285714
"2020-10-30",748,655.1428571428571
"2020-10-31",707,669
"2020-11-01",578,676
"2020-11-02",612,685.5714285714286
"2020-11-03",899,713
"2020-11-04",675,701
"2020-11-05",577,685.1428571428571
"2020-11-06",606,664.8571428571429
"2020-11-07",516,637.5714285714286
"2020-11-08",415,614.2857142857143
"2020-11-09",443,590.1428571428571
"2020-11-10",618,550
"2020-11-11",565,534.2857142857143
"2020-11-12",414,511
"2020-11-13",526,499.57142857142856
"2020-11-14",461,491.7142857142857
"2020-11-15",305,476
"2020-11-16",285,453.42857142857144
"2020-11-17",380,419.42857142857144
"2020-11-18",358,389.85714285714283
"2020-11-19",363,382.57142857142856
"2020-11-20",323,353.57142857142856
"2020-11-21",261,325
"2020-11-22",215,312.14285714285717
"2020-11-23",211,301.57142857142856
"2020-11-24",305,290.85714285714283
"2020-11-25",285,280.42857142857144
"2020-11-26",257,265.2857142857143
"2020-11-27",234,252.57142857142858
"2020-11-28",225,247.42857142857142
"2020-11-29",149,238
"2020-11-30",123,225.42857142857142
"2020-12-01",208,211.57142857142858
"2020-12-02",238,204.85714285714286
"2020-12-03",196,196.14285714285714
"2020-12-04",221,194.28571428571428
"2020-12-05",226,194.42857142857142
"2020-12-06",151,194.71428571428572
"2020-12-07",147,198.14285714285714
"2020-12-08",215,199.14285714285714
"2020-12-09",185,191.57142857142858
"2020-12-10",207,193.14285714285714
"2020-12-11",184,187.85714285714286
"2020-12-12",185,182
"2020-12-13",187,187.14285714285714
"2020-12-14",125,184
"2020-12-15",225,185.42857142857142
"2020-12-16",201,187.71428571428572
"2020-12-17",208,187.85714285714286
"2020-12-18",201,190.28571428571428
"2020-12-19",198,192.14285714285714
"2020-12-20",133,184.42857142857142
"2020-12-21",139,186.42857142857142
"2020-12-22",219,185.57142857142858
"2020-12-23",190,184
"2020-12-24",211,184.42857142857142
"2020-12-25",151,177.28571428571428
"2020-12-26",95,162.57142857142858
"2020-12-27",158,166.14285714285714
"2020-12-28",150,167.71428571428572
"2020-12-29",208,166.14285714285714
"2020-12-30",159,161.71428571428572
"2020-12-31",145,152.28571428571428
"2021-01-01",150,152.14285714285714
"2021-01-02",110,154.28571428571428
"2021-01-03",137,151.28571428571428
"2021-01-04",110,145.57142857142858
"2021-01-05",149,137.14285714285714
"2021-01-06",145,135.14285714285714
"2021-01-07",156,136.71428571428572
"2021-01-08",141,135.42857142857142
"2021-01-09",137,139.28571428571428
"2021-01-10",85,131.85714285714286
"2021-01-11",94,129.57142857142858
"2021-01-12",139,128.14285714285714
"2021-01-13",142,127.71428571428571
"2021-01-14",133,124.42857142857143
"2021-01-15",142,124.57142857142857
"2021-01-16",111,120.85714285714286
"2021-01-17",79,120
"2021-01-18",105,121.57142857142857
"2021-01-19",187,128.42857142857142
"2021-01-20",144,128.71428571428572
"2021-01-21",148,130.85714285714286
"2021-01-22",158,133.14285714285714
"2021-01-23",143,137.71428571428572
"2021-01-24",106,141.57142857142858
"2021-01-25",92,139.71428571428572
"2021-01-26",153,134.85714285714286
"2021-01-27",121,131.57142857142858
"2021-01-28",138,130.14285714285714
"2021-01-29",119,124.57142857142857
"2021-01-30",137,123.71428571428571
"2021-01-31",77,119.57142857142857
"2021-02-01",128,124.71428571428571
"2021-02-02",142,123.14285714285714
"2021-02-03",142,126.14285714285714
"2021-02-04",141,126.57142857142857
"2021-02-05",144,130.14285714285714
"2021-02-06",123,128.14285714285714
"2021-02-07",108,132.57142857142858
"2021-02-08",72,124.57142857142857
"2021-02-09",163,127.57142857142857
"2021-02-10",132,126.14285714285714
"2021-02-11",137,125.57142857142857
"2021-02-12",132,123.85714285714286
"2021-02-13",107,121.57142857142857
"2021-02-14",91,119.14285714285714
"2021-02-15",84,120.85714285714286
"2021-02-16",145,118.28571428571429
"2021-02-17",141,119.57142857142857
"2021-02-18",142,120.28571428571429
"2021-02-19",125,119.28571428571429
"2021-02-20",112,120
"2021-02-21",88,119.57142857142857
"2021-02-22",115,124
"2021-02-23",155,125.42857142857143
"2021-02-24",150,126.71428571428571
"2021-02-25",142,126.71428571428571
"2021-02-26",204,138
"2021-02-27",156,144.28571428571428
"2021-02-28",127,149.85714285714286
"2021-03-01",107,148.71428571428572
"2021-03-02",176,151.71428571428572
"2021-03-03",152,152
"2021-03-04",171,156.14285714285714
"2021-03-05",152,148.71428571428572
"2021-03-06",141,146.57142857142858
"2021-03-07",122,145.85714285714286
"2021-03-08",113,146.71428571428572
"2021-03-09",202,150.42857142857142
"2021-03-10",154,150.71428571428572
"2021-03-11",139,146.14285714285714
"2021-03-12",170,148.71428571428572
"2021-03-13",195,156.42857142857142
"2021-03-14",159,161.71428571428572
"2021-03-15",150,167
"2021-03-16",208,167.85714285714286
"2021-03-17",207,175.42857142857142
"2021-03-18",208,185.28571428571428
"2021-03-19",182,187
"2021-03-20",243,193.85714285714286
"2021-03-21",185,197.57142857142858
"2021-03-22",201,204.85714285714286
"2021-03-23",282,215.42857142857142
"2021-03-24",251,221.71428571428572
"2021-03-25",242,226.57142857142858
"2021-03-26",208,230.28571428571428
"2021-03-27",296,237.85714285714286
"2021-03-28",213,241.85714285714286
"2021-03-29",199,241.57142857142858
"2021-03-30",319,246.85714285714286
"2021-03-31",309,255.14285714285714
"2021-04-01",290,262
"2021-04-02",296,274.57142857142856
"2021-04-03",259,269.2857142857143
"2021-04-04",171,263.2857142857143
"2021-04-05",230,267.7142857142857
"2021-04-06",235,255.71428571428572
"2021-04-07",333,259.14285714285717
"2021-04-08",250,253.42857142857142
"2021-04-09",275,250.42857142857142
"2021-04-10",255,249.85714285714286
"2021-04-11",202,254.28571428571428
"2021-04-12",225,253.57142857142858
"2021-04-13",267,258.14285714285717
"2021-04-14",217,241.57142857142858
"2021-04-15",239,240
"2021-04-16",249,236.28571428571428
"2021-04-17",245,234.85714285714286
"2021-04-18",201,234.71428571428572
"2021-04-19",210,232.57142857142858
"2021-04-20",303,237.71428571428572
"2021-04-21",244,241.57142857142858
"2021-04-22",231,240.42857142857142
"2021-04-23",222,236.57142857142858
"2021-04-24",228,234.14285714285714
"2021-04-25",162,228.57142857142858
"2021-04-26",156,220.85714285714286
"2021-04-27",231,210.57142857142858
"2021-04-28",210,205.71428571428572
"2021-04-29",206,202.14285714285714
"2021-04-30",191,197.71428571428572
"2021-05-01",195,193
