"DATE","CASES","AVERAGE"
"2020-10-15",11822,8710.285714285714
"2020-10-16",13484,9523
"2020-10-17",7997,10049.57142857143
"2020-10-18",4291,10319
"2020-10-19",15565,11150.57142857143
"2020-10-20",19284,12107.714285714286
"2020-10-21",17492,12847.857142857143
"2020-10-22",17697,13687.142857142857
"2020-10-23",18884,14458.57142857143
"2020-10-24",11566,14968.42857142857
"2020-10-25",4897,15055
"2020-10-26",19875,15670.714285714286
"2020-10-27",22221,16090.285714285714
"2020-10-28",18002,16163.142857142857
"2020-10-29",15097,15791.714285714286
"2020-10-30",15408,15295.142857142857
"2020-10-31",6314,14544.857142857143
"2020-11-01",2667,14226.285714285714
"2020-11-02",13861,13367.142857142857
"2020-11-03",12108,11922.42857142857
"2020-11-04",9233,10669.714285714286
"2020-11-05",7661,9607.42857142857
"2020-11-06",6648,8356
"2020-11-07",3046,7889.142857142857
"2020-11-08",1449,7715.142857142857
"2020-11-09",8637,6968.857142857143
"2020-11-10",7701,6339.285714285715
"2020-11-11",2004,5306.571428571428
"2020-11-12",6484,5138.428571428572
"2020-11-13",5712,5004.714285714285
"2020-11-14",2372,4908.428571428572
"2020-11-15",1057,4852.428571428572
"2020-11-16",5825,4450.714285714285
"2020-11-17",4829,4040.4285714285716
"2020-11-18",3703,4283.142857142857
"2020-11-19",3020,3788.285714285714
"2020-11-20",3083,3412.714285714286
"2020-11-21",1263,3254.285714285714
"2020-11-22",589,3187.4285714285716
"2020-11-23",3958,2920.714285714286
"2020-11-24",2879,2642.1428571428573
"2020-11-25",2687,2497
"2020-11-26",2431,2412.8571428571427
"2020-11-27",2741,2364
"2020-11-28",1006,2327.285714285714
"2020-11-29",560,2323.1428571428573
"2020-11-30",3306,2230
"2020-12-01",2700,2204.4285714285716
"2020-12-02",2620,2194.8571428571427
"2020-12-03",2386,2188.4285714285716
"2020-12-04",2571,2164.1428571428573
"2020-12-05",1104,2178.1428571428573
"2020-12-06",602,2184.1428571428573
"2020-12-07",3374,2193.8571428571427
"2020-12-08",2734,2198.714285714286
"2020-12-09",2772,2220.4285714285716
"2020-12-10",2689,2263.714285714286
"2020-12-11",2921,2313.714285714286
"2020-12-12",1608,2385.714285714286
"2020-12-13",742,2405.714285714286
"2020-12-14",3857,2474.714285714286
"2020-12-15",3249,2548.285714285714
"2020-12-16",2859,2560.714285714286
"2020-12-17",2795,2575.8571428571427
"2020-12-18",2836,2563.714285714286
"2020-12-19",1463,2543
"2020-12-20",656,2530.714285714286
"2020-12-21",3406,2466.285714285714
"2020-12-22",2711,2389.4285714285716
"2020-12-23",2465,2333.1428571428573
"2020-12-24",1783,2188.5714285714284
"2020-12-25",520,1857.7142857142858
"2020-12-26",1163,1814.857142857143
"2020-12-27",559,1801
"2020-12-28",2750,1707.2857142857142
"2020-12-29",2423,1666.142857142857
"2020-12-30",2081,1611.2857142857142
"2020-12-31",1722,1602.5714285714287
"2021-01-01",487,1597.857142857143
"2021-01-02",1134,1593.7142857142858
"2021-01-03",839,1633.7142857142858
"2021-01-04",3150,1690.857142857143
"2021-01-05",2855,1752.5714285714287
"2021-01-06",2541,1818.2857142857142
"2021-01-07",2005,1858.7142857142858
"2021-01-08",2079,2086.1428571428573
"2021-01-09",1411,2125.714285714286
"2021-01-10",880,2131.5714285714284
"2021-01-11",3097,2124
"2021-01-12",2501,2073.4285714285716
"2021-01-13",2244,2031
"2021-01-14",2205,2059.5714285714284
"2021-01-15",2192,2075.714285714286
"2021-01-16",1205,2046.2857142857142
"2021-01-17",739,2026.142857142857
"2021-01-18",3069,2022.142857142857
"2021-01-19",2501,2022.142857142857
"2021-01-20",2558,2067
"2021-01-21",2396,2094.285714285714
"2021-01-22",2655,2160.4285714285716
"2021-01-23",1411,2189.8571428571427
"2021-01-24",834,2203.4285714285716
"2021-01-25",3444,2257
"2021-01-26",2797,2299.285714285714
"2021-01-27",2617,2307.714285714286
"2021-01-28",2623,2340.1428571428573
"2021-01-29",3060,2398
"2021-01-30",1582,2422.4285714285716
"2021-01-31",875,2428.285714285714
"2021-02-01",3400,2422
"2021-02-02",2698,2407.8571428571427
"2021-02-03",2438,2382.285714285714
"2021-02-04",2441,2356.285714285714
"2021-02-05",2500,2276.285714285714
"2021-02-06",1288,2234.285714285714
"2021-02-07",612,2196.714285714286
"2021-02-08",2632,2087
"2021-02-09",2169,2011.4285714285713
"2021-02-10",2179,1974.4285714285713
"2021-02-11",2122,1928.857142857143
"2021-02-12",2057,1865.5714285714287
"2021-02-13",1153,1846.2857142857142
"2021-02-14",620,1847.4285714285713
"2021-02-15",2799,1871.2857142857142
"2021-02-16",2419,1907
"2021-02-17",2574,1963.4285714285713
"2021-02-18",2596,2031.142857142857
"2021-02-19",2872,2147.5714285714284
"2021-02-20",1579,2208.4285714285716
"2021-02-21",822,2237.285714285714
"2021-02-22",3404,2323.714285714286
"2021-02-23",2965,2401.714285714286
"2021-02-24",2785,2431.8571428571427
"2021-02-25",2692,2445.5714285714284
"2021-02-26",2858,2443.5714285714284
"2021-02-27",1522,2435.4285714285716
"2021-02-28",729,2422.1428571428573
"2021-03-01",3270,2403
"2021-03-02",2796,2378.8571428571427
"2021-03-03",2792,2379.8571428571427
"2021-03-04",2732,2385.5714285714284
"2021-03-05",2774,2373.5714285714284
"2021-03-06",1536,2375.5714285714284
"2021-03-07",804,2386.285714285714
"2021-03-08",3737,2453
"2021-03-09",3439,2544.8571428571427
"2021-03-10",3438,2637.1428571428573
"2021-03-11",3540,2752.5714285714284
"2021-03-12",3796,2898.5714285714284
"2021-03-13",2195,2992.714285714286
"2021-03-14",1409,3079.1428571428573
"2021-03-15",5312,3304.1428571428573
"2021-03-16",4638,3475.4285714285716
"2021-03-17",4879,3681.285714285714
"2021-03-18",5084,3901.8571428571427
"2021-03-19",5237,4107.714285714285
"2021-03-20",2871,4204.285714285715
"2021-03-21",1594,4230.714285714285
"2021-03-22",6333,4376.571428571428
"2021-03-23",6069,4581
"2021-03-24",5619,4686.714285714285
"2021-03-25",5669,4770.285714285715
"2021-03-26",5794,4849.857142857143
"2021-03-27",3093,4881.571428571428
"2021-03-28",1712,4898.428571428572
"2021-03-29",6223,4882.714285714285
"2021-03-30",5251,4765.857142857143
"2021-03-31",4778,4645.714285714285
"2021-04-01",4749,4514.285714285715
"2021-04-02",4950,4393.714285714285
"2021-04-03",2728,4341.571428571428
"2021-04-04",1535,4316.285714285715
"2021-04-05",1592,3654.714285714286
"2021-04-06",5310,3663.1428571428573
"2021-04-07",4786,3664.285714285714
"2021-04-08",4509,3630
"2021-04-09",4543,3571.8571428571427
"2021-04-10",2385,3522.8571428571427
"2021-04-11",1313,3491.1428571428573
"2021-04-12",4786,3947.4285714285716
"2021-04-13",4341,3809
"2021-04-14",3939,3688
"2021-04-15",3844,3593
"2021-04-16",4066,3524.8571428571427
"2021-04-17",2353,3520.285714285714
"2021-04-18",1327,3522.285714285714
"2021-04-19",5510,3625.714285714286
"2021-04-20",4504,3649
"2021-04-21",4096,3671.4285714285716
"2021-04-22",3839,3670.714285714286
"2021-04-23",3676,3615
"2021-04-24",1915,3552.4285714285716
"2021-04-25",1150,3527.1428571428573
"2021-04-26",4307,3355.285714285714
"2021-04-27",3809,3256
"2021-04-28",3485,3168.714285714286
"2021-04-29",3390,3104.5714285714284
"2021-04-30",3523,3082.714285714286
"2021-05-01",1352,3002.285714285714
"2021-05-02",1156,3003.1428571428573
"2021-05-03",4380,3013.5714285714284
"2021-05-04",3685,2995.8571428571427
"2021-05-05",3658,3020.5714285714284
"2021-05-06",3542,3042.285714285714
"2021-05-07",3346,3017
"2021-05-08",1742,3072.714285714286
"2021-05-09",880,3033.285714285714
"2021-05-10",3414,2895.285714285714
"2021-05-11",3035,2802.4285714285716
"2021-05-12",2845,2686.285714285714
"2021-05-13",959,2317.285714285714
"2021-05-14",2608,2211.8571428571427
"2021-05-15",1287,2146.8571428571427
"2021-05-16",766,2130.5714285714284
"2021-05-17",3639,2162.714285714286
"2021-05-18",3305,2201.285714285714
"2021-05-19",3187,2250.1428571428573
"2021-05-20",2453,2463.5714285714284
"2021-05-21",2476,2444.714285714286
"2021-05-22",1449,2467.8571428571427
"2021-05-23",791,2471.4285714285716
"2021-05-24",904,2080.714285714286
"2021-05-25",2801,2008.7142857142858
"2021-05-26",2544,1916.857142857143
"2021-05-27",2219,1883.4285714285713
"2021-05-28",2033,1820.142857142857
"2021-05-29",1125,1773.857142857143
"2021-05-30",607,1747.5714285714287
"2021-05-31",2044,1910.4285714285713
"2021-06-01",1694,1752.2857142857142
"2021-06-02",1502,1603.4285714285713
"2021-06-03",1474,1497
"2021-06-04",1355,1400.142857142857
"2021-06-05",650,1332.2857142857142
"2021-06-06",400,1302.7142857142858
"2021-06-07",1240,1187.857142857143
"2021-06-08",1045,1095.142857142857
"2021-06-09",843,1001
"2021-06-10",767,900
"2021-06-11",785,818.5714285714286
"2021-06-12",392,781.7142857142857
"2021-06-13",210,754.5714285714286
"2021-06-14",771,687.5714285714286
"2021-06-15",540,615.4285714285714
"2021-06-16",422,555.2857142857143
"2021-06-17",452,510.2857142857143
"2021-06-18",427,459.14285714285717
"2021-06-19",275,442.42857142857144
"2021-06-20",141,432.57142857142856
"2021-06-21",488,392.14285714285717
